,IDComentario,comentario
5326,193379,"Péßimo atendimento,  devem tremer sua equipe,  treinar acolher melhor, parece q estamos pedindo esmola...fiquei arrasada era aniversário da minha filha...foi muito triste ?"
3540,142675,Se for a este lugar. Se prepare para esperar no mínimo 1h pra o pedido chegar a mesa. Tive que pedir fritas para enrolar a barriga.
1698,74819,"A comida é boa, mas o atendimento é bem ruim e ainda fazem de tudo pra fazer com que o cliente esteja errado. Esperei 1:10h pelo meu pedido (picanha pra 3p) e depois de ver 2 mesas de pessoas que chegaram depois de mim, receberem seus pedido, reclamei com o garçom, que disse q ainda tinham 4 pedidos na minha frente. Quase enlouqueci. Mas na verdade, eles entregaram meu pedido na outra mesa e eles não queriam admitir. Só não fui embora pq estávamos em grupo e todos com fome. E ainda demorou mais 15min depois disso. Pedi desconto no jantar e não deram nem desculpas pelo ocorrido. NÃO recomendo o local por isso."
4312,165140,As relíquias do bazar são mais atrativas que o preço é o atendimento.
6029,211325,"Péssima experiência,  buffet  pobre, carnes duras, poucas guarnições, não recomendo,além disso, preço caro, pelo custo x benefício!"
6026,211191,"Me disseram que o Café Regional Priscila era excelente, cheguei em Manaus dia 26/05/16 e no dia seguinte fui no café perto da Faculdade Nilton Lins. O nome não era mais Priscila e sim Nailza. Péssimo, horrível !!!! Onde o Café Prisxila atende agora ?"
6512,233032,"A qualidade dos produtos é realmente muito boa, os doces e salgados são ótimos . O preço é um pouco salgado."
5634,200705,"Fiz uma encomenda para a véspera de ano novo que estou até hoje esperando, não me retornaram ou avisaram que não seria possível realizar a entrega. Frequentava o lugar, mas não recomendo mais, não tiveram a mínima consideração com o cliente, que dependia do pedido para a ceia."
6332,218963,"É um restaurante de culinária local, caro, atendimento ruim. Realmente não é um local que voltarei. Precisa melhorar muito em muitas coisas, principalmente no atendimento"
4341,166201,"No rodízio não permite você comer um sabor de pizza 2 vezes ( passou a de camarão, perguntei do rapaz se ia demorar a passar de novo a de camarão e ele me disse que a de camarão já tinga passado na minha mesa).
A qualidade não é das melhores, valeu a experiência de conhecer!"
5491,196410,Precisa melhorar. A carne estava dura. Pedimos um prato nordestino e o garçom disse que a diferença pra carne de sol é que vinha MT queijo e vieram 3 fatias de queijo. O atendimento não foi bom. Então pensarei duas vezes em voltar novamente.
4823,178181,Drive Tru com atendimento demorado. Algumas coxinhas vieram com seu interior frio.
6742,241828,"É sorte. Para viagem ou entregar sempre tem algum problema. Quase sempre não tem suco, as guarnições acabam com bastante frequência e demoram a repor. Ultima vez que comi no local demoram a repor a guarnição que a carne ate esfriou. Se pedir para duas pessoas vem na mesma tabua com menos quantidade que a individual. Local possui moscas que incomodam durante a refeição. O preço não é um dos mais baratos.
A parte refrigerada só cabe duas mesas, ou seja, geralmente vc fica no quente, somente com ventiladores.
Estacionamento apenas para duas ou três vagas, o restante e na rua mesmo.
Já tive problemas no caixa, acredito que a atendente do caixa precisa melhorar sua cordialidade e como tratar um cliente.
Antigamente o local era melhor.
Sugestão para quem vai é ir a noite, pois é mais fresco, geralmente tem música ao vivo, etc."
170,19100,Já não e mais o mesmo ... Tanto a equipe de antendimento quanto o sabor ... Não compensa comer um prato feito a não ser se vc comer feito um passarinho ... No Kilo pesado vc pega uma lapada considerada. ..
4964,181157,Um lugar bonito porém com um péssimo atendimento ao cliente. Os garçons ficam forçando você a comer rápido para desocupar logo a mesa e assim um novo cliente possa sentar. Não volto mais nesse lugar pois não me senti a vontade.
1673,74474,Foi otimo um bom ambiente pra almoçar
